LACodeId,LACodeDetail
1,S01007004
2,E01009003
3,E01004915
4,E01021572
5,E01022031
6,E01007544
7,E01001838
8,S01011983
9,E01018660
10,E01018429
11,E01009375
12,W01001088
13,E01018326
14,S01007215
15,S01007786
16,E01012703
17,S01012989
18,E01010961
19,E01003746
20,E01032523
21,S01012681
22,E01026617
23,E01008130
24,W01000637
25,E01021919
26,E01001309
27,S01006548
28,S01006681
29,E01008917
30,E01009477
31,E01012632
32,E01010221
33,E01015411
34,95OO08W1
35,E01031159
36,E01030114
37,E01003607
38,S01010133
39,S01009531
40,W01000074
41,E01032946
42,E01005723
43,E01028692
44,E01017022
45,E01001221
46,E01021747
47,S01011157
48,E01007053
49,E01000531
50,E01007378
51,E01015918
52,E01029305
53,E01032631
54,E01011890
55,95KK09W1
56,E01020431
57,W01000983
58,W01001095
59,E01009656
60,E01003747
61,E01021936
62,E01021149
63,E01014698
64,W01001120
65,S01010310
66,S01011547
67,W01001679
68,E01004498
69,E01032241
70,95TT05S2
71,E01013460
72,E01003377
73,E01022372
74,E01025128
75,E01016810
76,W01001329
77,E01000946
78,E01015231
79,E01011800
80,E01023925
81,E01004831
82,E01012996
83,S01009946
84,E01002475
85,S01011885
86,E01025136
87,E01013832
88,E01020199
89,E01016853
90,E01019340
91,W01000997
92,E01020808
93,E01013203
94,E01019925
95,S01010570
96,E01025167
97,S01012700
98,E01002730
99,E01027312
100,S01012002
101,E01004008
102,E01024817
103,E01018846
104,E01009182
105,S01007681
106,E01019480
107,E01022100
108,E01000479
109,S01009550
110,E01006581
111,E01025892
112,E01008452
113,W01001438
114,E01005350
115,S01012145
116,E01008118
117,E01021010
118,E01011928
119,E01009455
120,E01016938
121,E01018248
122,W01001910
123,E01024536
124,E01000615
125,E01014003
126,E01002990
127,S01012630
128,S01011519
129,E01013863
130,E01032943
131,E01018178
132,E01007962
133,W01000779
134,E01017154
135,E01029835
136,E01010788
137,W01001366
138,W01001273
139,E01001032
140,E01027744
141,S01010189
142,E01022444
143,E01003645
144,E01016067
145,E01005580
146,E01028045
147,E01023778
148,E01005884
149,E01021531
150,E01012937
151,E01032082
152,E01010856
153,E01017986
154,E01018711
155,E01024562
156,E01028212
